N,P,K,temperature,humidity,ph,rainfall,label
74,54,38,34.27742987,83.47021081,7.120272972,217.3788583,rice
91,36,45,33.76444044,82.45432595,5.950647577,267.9761948,rice
71,46,40,29.79163437,82.1235421,7.236705436,191.9535738,rice
99,55,35,29.22660481,80.2389895,6.501697816,277.9626192,rice
72,40,38,30.02199822,82.20802629,7.592490617,245.1511304,rice
83,58,45,33.02961019,83.51827127,5.875345751,245.6626799,rice
93,58,38,28.56448371,83.77345559,6.932400225,279.5451717,rice
70,36,42,28.74323778,80.72886384,6.946209881,202.3838319,rice
76,47,42,30.921401,83.29114712,5.739175027,263.6372176,rice
99,41,36,28.36601627,82.74835604,6.738652179,182.5616319,rice
99,54,37,29.12571827,80.33502926,5.594819626,198.6730942,rice
86,59,35,33.75700762,82.11124033,6.946636369,243.5120414,rice
69,46,41,30.02687218,80.28597873,5.012139669,263.1103304,rice
91,56,37,30.2365755,80.56887849,6.363472208,269.5039162,rice
61,52,41,28.6965934,83.891805,6.880431223,204.8001847,rice
67,45,38,33.96349834,82.1706881,7.300410836,260.8875056,rice
79,42,37,30.91157613,82.84022551,6.587918708,295.6094492,rice
78,43,42,34.56422606,83.00320459,7.283736617,192.3197536,rice
75,54,36,34.54829409,84.56919326,7.023936392,257.4914906,rice
97,36,45,33.13347169,81.85872947,6.939083505,278.0791793,rice
67,47,44,29.49623948,81.78596776,7.868474653,280.4044392,rice
73,35,38,28.33298238,81.97927117,5.005306977,185.9461429,rice
77,36,37,31.50950874,81.46033732,6.136131869,194.5766559,rice
81,41,38,33.27731699,83.72874389,7.524080076,200.9133156,rice
68,57,43,30.53742157,80.37979919,5.706943251,182.9043504,rice
72,45,35,30.93597153,82.94682591,5.758506323,195.3574542,rice
61,53,43,33.03021405,81.05635517,6.349606327,223.3671883,rice
67,43,39,34.39981099,84.96907151,5.999969026,186.7536773,rice
67,58,39,28.09943198,80.54372813,5.453592032,220.1156708,rice
66,60,38,29.58611311,83.47038318,6.372576327,231.7364957,rice
82,43,38,30.57560358,81.43321641,5.105588355,242.3170629,rice
84,50,44,30.11052732,81.40633547,5.935344406,182.6549356,rice
81,53,42,31.72889394,81.03569343,5.17782304,233.7034975,rice
91,50,40,31.83119949,84.1341879,6.462391607,230.2242223,rice
93,53,38,30.77494684,81.91411159,7.069172227,290.6793783,rice
90,44,38,28.64752915,83.88387074,7.473134377,241.2013513,rice
81,45,35,30.8247376,80.12267476,6.158376967,218.9163567,rice
78,40,38,31.456,83.85642678,7.549873681,248.2256491,rice
60,51,36,30.45678,82.81088865,6.028321558,256.9964761,rice
88,46,42,33.7654,83.46358271,6.604993475,194.2651719,rice
93,47,37,29.1235,82.14004101,6.500343222,295.9248796,rice
60,55,45,33.87656,83.3293191,5.935745417,287.5766935,rice
78,35,44,28.56,84.67353597,7.072655622,183.6222657,rice
65,37,40,30,83.59512273,5.333322606,188.413665,rice
71,54,16,23.87457636,63.69070564,5.749914421,87.75953857,corn
61,44,17,27.44703671,71.57476937,6.931756558,102.2662445,corn
80,43,16,27.32737808,71.59351368,6.657964753,66.71995467,corn
73,58,21,26.29696702,57.68272924,6.596060648,60.65171481,corn
61,38,20,27.03462064,62.69503871,5.970458434,65.43835393,corn
68,41,16,27.96195537,57.80840636,6.158830619,102.0861694,corn
93,41,17,24.72107146,66.50415474,6.047906679,105.4654703,corn
89,60,19,32.00886351,66.6902901,5.913664501,78.06639649,corn
76,44,17,27.41070176,62.5542482,5.855442401,65.27798457,corn
67,60,25,27.92982612,66.78627406,5.750254943,109.2162279,corn
70,44,19,27.32544906,73.4541537,5.852607099,94.29712821,corn
90,49,21,30.10749631,68.3584573,6.472523287,74.05474936,corn
62,52,16,25.27038328,58.84015925,6.967057762,63.87020584,corn
92,44,16,24.03587943,65.76816093,6.082973754,94.76189431,corn
66,54,21,28.30568679,60.2001687,5.919045532,72.12375573,corn
63,58,22,29.10914942,55.28220433,6.204747653,63.72358154,corn
70,47,17,27.49148035,70.4162444,6.600827017,104.1626147,corn
61,41,17,25.74015879,65.26185135,6.021902237,76.68456006,corn
66,53,19,28.39018746,60.1159381,6.033550195,65.49730729,corn
74,55,19,32.37364036,62.89366992,6.28886807,84.23613484,corn
77,57,21,24.67062226,73.80435276,6.550563823,79.74078719,corn
99,50,15,30.02523734,71.09445342,5.573286437,88.07753741,corn
74,56,22,26.28306403,66.65952796,6.829199275,80.97573281,corn
83,45,21,27.16554018,58.75082029,5.716222912,79.7532896,corn
100,48,16,24.97085969,67.22190688,5.54990242,74.51490791,corn
79,51,16,26.72642067,68.49835977,6.586244581,96.46380213,corn
94,39,18,31.82145601,57.48775781,5.893093135,102.8301942,corn
75,49,15,28.1004092,71.50905983,5.918263801,102.4852929,corn
78,48,22,24.9514547,63.10459626,5.588650585,70.43473609,corn
87,54,20,31.21717412,63.4711755,6.576418207,108.8303762,corn
87,35,25,25.51501739,63.1621551,6.178056304,65.88951188,corn
63,43,19,28.54064695,55.53128131,6.641906353,90.988051,corn
84,57,25,24.23302896,67.99257471,6.489040367,64.40866039,corn
64,35,23,31.47502201,61.89472002,5.680361038,63.03843397,corn
60,46,22,30.61712426,65.61418761,6.625404348,87.9298085,corn
98,44,21,32.6551176,74.089114,6.524478032,107.4931917,corn
75,56,18,24.81794517,62.35750641,5.696205468,60.95197486,corn
86,55,21,29.84933184,59.64024162,6.803931519,109.7515385,corn
98,35,18,30.27110411,74.82913698,6.252797548,91.76337172,corn
76,57,18,25.69870404,74.52600826,6.092725883,94.26249353,corn
99,56,17,30.95051893,73.13112261,6.234330356,71.07562236,corn
60,44,23,26.84130977,70.04556743,5.722579819,76.72860067,corn
74,48,17,28.26936166,60.27766379,6.430616465,69.21803098,corn
89,60,17,25.73504214,57.21025565,5.983952675,101.7004306,corn
69,51,23,31.90367427,72.85462807,6.80163854,106.6213157,corn
96,46,22,29.96690435,69.00128641,6.499936446,66.29390357,corn
61,60,15,24.64050718,68.74248334,6.265564338,91.26056654,corn
74,58,18,28.70230183,56.35606753,6.727303282,109.024141,corn
74,43,23,27.52794398,61.89082199,6.325235159,99.57981207,corn
63,43,17,27.70027347,65.47050802,6.807487794,71.3195307,corn
99,36,20,27.55607333,65.34583901,6.671085817,78.34604471,corn
77,36,23,27.15659726,56.73426469,6.648725327,88.45361858,corn
87,60,23,26.58277251,63.91281869,6.439071996,62.50351892,corn
60,38,17,27.31618063,64.23580251,6.474476516,76.41312437,corn
94,54,17,31.84371995,61.74427165,5.871647806,107.3198135,corn
95,38,22,27.9041493,61.24500053,5.730617109,100.7689246,corn
84,44,21,25.93198472,61.91044947,5.850439831,107.2681929,corn
77,58,19,28.47894735,56.50768935,5.791649933,101.5952794,corn
66,44,20,27.39968631,69.02298571,6.740000688,80.72515943,corn
63,35,16,27.17331886,65.35549924,6.272417541,83.73280082,corn
79,45,20,27.55757499,59.24537979,5.715208817,89.9622014,corn
72,60,25,27.0164504,69.0276233,5.773454729,88.10234397,corn
67,51,24,27.77917346,61.32026065,5.584171461,64.77791424,corn
86,36,24,25.47929954,72.89187265,5.787268394,73.33636055,corn
76,48,18,32.01768521,69.63481219,5.77597783,83.21030571,corn
75,53,18,26.74049863,59.4375337,6.864793607,103.651438,corn
81,45,23,25.59704856,68.034493,6.192360003,84.22969177,corn
73,45,21,25.96803627,73.58868502,6.636803223,96.59195302,corn
71,35,24,24.66500427,59.52193158,5.826426917,67.96704792,corn
96,54,22,28.2909263,61.33450447,6.960358276,83.20711308,corn
99,39,18,28.25485765,68.30578978,6.11275104,87.85092352,corn
62,48,20,24.59890234,60.47470519,6.708446922,95.71388473,corn
86,37,16,27.07258094,59.21235483,5.561510732,67.61013737,corn
94,50,19,27.21864377,73.62548442,5.873242491,97.59081274,corn
76,39,24,25.64791038,55.64709899,6.995843776,64.23845455,corn
77,52,17,31.47394032,65.7420046,5.714799723,75.82270467,corn
74,39,23,24.28927712,65.77472881,6.78073637,88.17251033,corn
81,49,20,25.32705765,60.61494304,5.513697923,104.2321615,corn
63,42,21,29.23541437,72.33125523,5.798423908,67.10225139,corn
99,38,21,31.56,71.59722446,6.352471866,67.72777298,corn
90,52,25,31.07414456,69.36385721,6.822586546,103.2234212,corn
68,40,19,24.78527248,66.20569924,6.655426355,107.2361366,corn
60,57,24,26.88352369,61.55327249,6.121294041,75.03247667,corn
71,52,18,28.28832526,55.97732754,5.790770203,78.16077693,corn
61,59,17,30.38857979,59.24580604,6.47444292,105.0083144,corn
88,38,15,30.26904471,65.92195844,6.455116637,62.49190812,corn
65,60,22,28.10360725,72.52054555,6.606984086,107.9124111,corn
78,37,22,25.68461013,63.31801994,6.330554389,74.52082026,corn
78,58,15,25.78321513,67.816568,6.528631266,62.91359494,corn
92,60,23,26.44101907,71.516474,5.721667141,69.93293255,corn
79,59,17,24.13452197,63.73849998,6.644205485,108.5054416,corn
91,55,15,28.25320269,72.61024172,6.376651091,78.96159541,corn
76,51,18,25.25799129,71.96246617,6.247040422,79.84925393,corn
87,48,25,27.53427323,61.37879671,6.656730008,93.62039175,corn
71,60,22,28.2800971,59.37147589,6.2048017,85.75692395,corn
90,57,24,27.67596416,72.80086137,6.158860284,82.34162918,corn
67,35,22,27.54203796,63.24648023,6.385684214,108.7603001,corn
60,54,19,28.05784375,62.49878458,6.417820493,70.23401597,corn
83,58,23,31.34,59.66263104,6.381201909,65.50861389,corn
83,57,19,30.456,70.74739256,6.877869005,98.73771338,corn
176,30,105,26.678,61.276,5.485996067,202.9355362,cinnamon
150,38,110,30.258,64.936,4.920251378,166.6555374,cinnamon
141,36,96,25.953,65.778,4.996932037,263.9642476,cinnamon
139,39,92,29.411,64.157,5.391173589,242.8640342,cinnamon
123,32,129,28.039,69.126,5.152811172,162.7173405,cinnamon
149,40,131,28.125,63.942,5.288992796,251.0549998,cinnamon
92,22,99,26.862,62.733,4.731049028,271.3248604,cinnamon
173,38,117,27.731,66.457,4.550808267,241.9741949,cinnamon
102,33,130,28.68,65.35,5.010570541,230.4462359,cinnamon
174,26,111,30.64,63.011,4.753795334,151.2091958,cinnamon
171,37,130,26.19,67.267,4.918192847,264.6148697,cinnamon
120,24,121,25.563,68.478,4.976607593,250.0832336,cinnamon
171,26,120,25.816,68.784,5.515499549,284.4364567,cinnamon
172,28,92,25.475,68.05,5.490127142,185.2773389,cinnamon
147,42,96,31.268,64.554,5.576415562,209.5869708,cinnamon
119,44,124,27.762,67.052,5.481783043,231.0863347,cinnamon
171,33,126,31.702,63.764,4.966605025,276.6552459,cinnamon
174,42,97,29.196,67.084,5.140825437,206.2611855,cinnamon
140,38,102,25.963,68.87,5.228963452,155.5550169,cinnamon
117,36,129,30.198,62.142,5.492546046,291.2986618,cinnamon
140,29,132,25.741,67.146,4.528599957,185.4974732,cinnamon
143,31,95,31.034,67.438,4.701446446,231.3843163,cinnamon
158,31,111,31.274,61.871,4.519975748,213.3560921,cinnamon
131,27,110,30.648,61.148,4.620900869,233.1075816,cinnamon
171,40,95,30.426,64.415,5.104396058,224.0581164,cinnamon
106,27,94,27.58,65.43,5.204090835,257.0038865,cinnamon
156,37,126,26.593,65.979,5.051091339,271.3586137,cinnamon
152,35,131,26.618,65.731,4.690962338,260.2634026,cinnamon
163,25,132,31.058,65.873,4.829211144,240.0810647,cinnamon
150,27,92,25.109,62.545,4.761599706,197.9791215,cinnamon
120,31,91,25.678,65.951,4.654425315,272.2017204,cinnamon
126,43,121,26.329,65.945,5.129533877,160.0882787,cinnamon
125,40,92,25.176,65.594,4.829273328,224.6757231,cinnamon
154,27,97,30.84,66.913,4.621662982,270.4417274,cinnamon
143,44,133,26.14,66.501,5.204862075,233.1321372,cinnamon
152,27,124,28.122,62.417,5.18042747,193.3473987,cinnamon
153,42,126,28.554,64.327,4.978996755,272.2999056,cinnamon
149,27,91,31.331,63.829,4.863113671,285.2493645,cinnamon
91,42,122,27.793,66.29,4.967843048,298.4018471,cinnamon
122,31,119,29.319,62.777,5.206582193,257.0343554,cinnamon
142,36,118,27.881,66.451,4.868741443,248.7183228,cinnamon
158,34,118,30.572,63.456,4.766128654,209.9001977,cinnamon
170,43,131,26.536,62.777,4.736337905,170.834898,cinnamon
169,39,133,29.056,62.115,5.081095263,298.5601175,cinnamon
148,30,119,28.487,69.482,5.138243973,265.5355937,cinnamon
149,33,125,26.35,61.788,5.496645259,183.6793207,cinnamon
147,28,98,26.192,69.117,5.380185271,196.9560008,cinnamon
151,35,129,26.368,62.48,5.289614016,233.0453455,cinnamon
148,24,103,27.688,63.023,4.586777189,210.8142087,cinnamon
120,27,125,27.636,67.258,4.89655198,253.7202781,cinnamon
123,38,110,26.741,62.893,4.806747656,219.9048349,cinnamon
137,39,121,28.345,63.764,5.150681303,208.5810155,cinnamon
165,35,97,26.625,69.587,4.64919573,195.0948311,cinnamon
149,44,115,31.282,65.97,4.778591618,227.3637009,cinnamon
135,27,90,26.481,62.594,5.358740355,286.5083725,cinnamon
131,43,130,31.535,65.966,5.255450758,283.9338466,cinnamon
160,27,106,28.299,63.29,5.456148474,217.3788583,cinnamon
150,24,122,27.127,66.301,4.613072145,267.9761948,cinnamon
146,27,110,27.846,66.455,5.165359297,191.9535738,cinnamon
166,35,98,28.69,65.216,4.64867466,177.9626192,cinnamon
153,29,97,29.074,66.66,4.545888558,245.1511304,cinnamon
166,26,112,28.735,69.43,5.104224797,175.6626799,cinnamon
154,27,107,30.469,62.235,5.358099622,279.5451717,cinnamon
121,40,93,25.259,68.547,5.4740245,202.3838319,cinnamon
156,27,107,29.556,69.308,4.840339389,263.6372176,cinnamon
166,22,132,26.476,68.901,5.064790365,182.5616319,cinnamon
169,27,93,27.201,67.119,4.599033472,198.6730942,cinnamon
158,44,107,31.385,67.891,4.715587232,243.5120414,cinnamon
163,27,124,31.133,62.086,4.81712422,263.1103304,cinnamon
166,29,132,31.405,61.186,5.585417393,269.5039162,cinnamon
118,31,125,31.366,62.853,4.545258424,204.8001847,cinnamon
170,29,125,26.04,61.721,4.728998197,260.8875056,cinnamon
167,38,93,25.331,62.242,5.354973451,155.6094492,cinnamon
172,25,97,26.099,62.658,5.313122235,192.3197536,cinnamon
123,33,108,27.522,63.702,4.785039076,157.4914906,cinnamon
94,24,118,30.472,68.258,5.307004923,278.0791793,cinnamon
97,27,111,29.167,69.151,5.403982316,280.4044392,cinnamon
107,28,129,25.064,61.912,4.599279991,185.9461429,cinnamon
150,43,106,25.777,62.22,5.217018459,194.5766559,cinnamon
156,35,96,30.12,65.817,5.561108006,170.9133156,cinnamon
96,42,115,31.817,62.192,5.489545074,182.9043504,cinnamon
98,37,94,25.542,63.193,4.609696734,195.3574542,cinnamon
107,36,101,31.393,69.092,5.476800943,223.3671883,cinnamon
141,34,102,25.829,65.554,5.325451279,186.7536773,cinnamon
174,24,104,29.606,62.871,5.489389282,220.1156708,cinnamon
91,38,122,25.578,66.989,4.786366322,231.7364957,cinnamon
121,39,91,26.926,66.08,5.408437886,242.3170629,cinnamon
90,26,92,25.156,66.401,5.423873703,182.6549356,cinnamon
165,37,95,30.923,63.007,4.719960893,233.7034975,cinnamon
166,35,102,27.426,66.354,4.811997977,230.2242223,cinnamon
141,39,102,27.219,61.66,5.317153205,160.6793783,cinnamon
142,28,96,31.051,68.718,5.114405288,241.2013513,cinnamon
148,22,96,25.749,62.813,5.135900726,218.9163567,cinnamon
151,39,91,30.463,67.238,4.714153038,248.2256491,cinnamon
169,34,98,28.01,68.754,5.103798069,256.9964761,cinnamon
154,31,106,27.646,63.952,4.861479668,194.2651719,cinnamon
128,24,123,27.789,62.659,4.861128148,295.9248796,cinnamon
98,40,129,29.899,61.422,5.4526709,287.5766935,cinnamon
156,43,124,30.007,68.311,5.168096055,183.6222657,cinnamon
93,45,122,29.042,63.783,5.26311855,188.413665,cinnamon
85,25,113,20.579,55.246,6.68597166,301.5476,pepper
68,37,100,21.938,68.62,6.759237003,286.8912,pepper
67,33,131,25.269,54.475,6.873171894,354.7256,pepper
84,31,93,23.607,66.329,6.926676985,387.1748,pepper
78,24,93,26.859,54.112,6.95561668,278.1289,pepper
70,23,133,30.207,59.857,5.949949081,335.4387,pepper
73,41,93,29.834,58.798,6.789214289,259.7754,pepper
48,43,98,29.025,55.484,6.581021521,307.4868,pepper
54,31,111,24.307,52.626,6.689858133,273.1992,pepper
72,22,93,31.398,60.684,6.794158504,354.8951,pepper
56,23,127,29.634,61.261,6.748190463,317.4246,pepper
47,37,130,27.269,56.471,7.166522896,353.0632,pepper
60,39,115,25.464,61.438,6.809419584,311.6759,pepper
79,29,120,28.407,57.444,6.887263027,389.2837,pepper
76,43,129,22.921,64.329,6.99812453,295.4443,pepper
60,35,132,24.897,59.76,6.792744849,394.7154,pepper
86,40,94,31.251,65.277,6.912289889,388.1693,pepper
83,42,126,22.592,56.737,6.788386951,394.0361,pepper
46,28,130,27.752,64.74,6.728233081,361.8329,pepper
80,36,93,28.658,66.687,6.833940084,262.2318,pepper
55,29,99,29.106,64.959,6.967533236,347.8082,pepper
66,37,129,28.378,60.83,6.625096446,395.3851,pepper
74,25,92,34.616,64.752,6.515615023,372.4899,pepper
53,40,115,21.831,62.449,6.954665349,330.3578,pepper
87,43,123,33.694,51.575,6.74644777,258.6761,pepper
69,42,92,20.707,54.204,6.877347515,284.3338,pepper
50,29,102,27.565,66.857,6.979973965,358.5739,pepper
61,31,120,27.862,57.841,6.635993966,366.9351,pepper
49,39,123,26.439,62.931,6.635231778,368.3652,pepper
61,43,120,28.732,52.787,6.679224346,378.6452,pepper
50,33,119,33.121,56.007,6.270062975,345.0639,pepper
71,22,132,24.116,55.355,6.24242065,360.5743,pepper
75,34,97,28.763,57.862,6.311314232,391.7582,pepper
80,34,118,22.128,63.118,6.783425416,307.1122,pepper
74,43,104,20.888,64.455,6.607808432,373.9129,pepper
56,26,132,28.128,65.89,6.946999529,359.9518,pepper
89,30,94,22.661,54.475,6.852046999,255.3901,pepper
84,40,109,29.018,51.722,6.824090984,281.2827,pepper
65,35,92,28.684,66.518,6.502999119,329.2065,pepper
82,30,123,22.205,56.317,7,330.1608,pepper
72,27,110,28.166,60.09,6.711439256,306.3192,pepper
87,26,131,26.196,57.201,6.514927264,317.0328,pepper
64,29,120,22.378,51.501,6.99616119,390.8455,pepper
58,29,117,27.285,54.957,6.695422863,298.8614,pepper
88,26,130,33.515,58.408,6.833010958,259.5793,pepper
78,34,111,30.766,51.925,6.568456899,393.6205,pepper
80,28,124,22.74,57.746,6.645435626,388.0893,pepper
83,33,134,33.062,56.434,6.821194486,274.7457,pepper
85,23,120,23.124,65.59,6.659254981,270.1329,pepper
73,22,119,30.294,60.45,6.945465949,273.7831,pepper
49,28,115,22.317,64.157,6.151177452,284.9963,pepper
67,40,131,28.527,59.112,6.520880014,278.5467,pepper
82,22,102,25.833,67.486,6.578410206,384.7749,pepper
77,36,96,23.564,57.797,6.608165195,327.4012,pepper
85,39,91,27.398,65.385,6.609435128,304.1776,pepper
56,35,121,27.84,52.063,6.409295379,390.7227,pepper
77,24,111,26.686,55.628,6.902033406,271.3867,pepper
55,38,101,30.741,63.687,6.744117663,389.6746,pepper
63,33,127,30.524,52.497,6.717143397,272.2607,pepper
70,43,106,22.423,53.4,6.342690119,345.0346,pepper
77,35,120,23.292,54.246,6.858617867,397.8319,pepper
63,43,92,33.208,67.425,6.618844277,399.2746,pepper
56,28,98,25.81,57.187,6.606620346,286.2316,pepper
59,23,131,25.24,58.082,6.582178402,278.0059,pepper
63,31,99,33.558,55.883,6.46503533,330.3105,pepper
58,40,96,20.679,67.15,6.889614577,320.7544,pepper
57,43,119,21.013,61.409,6.934136378,289.3952,pepper
79,23,133,21.939,61.803,6.683548308,291.7719,pepper
73,26,129,21.749,56.166,6.70836603,317.2385,pepper
78,22,118,24.662,56.499,6.948164454,395.4065,pepper
46,38,108,27.143,60.313,6.774755144,294.5405,pepper
74,23,117,33.775,62.423,6.97229163,361.4019,pepper
85,22,131,23.786,59.71,6.532100554,327.2967,pepper
58,39,110,28.246,53.693,6.669560726,387.4732,pepper
57,24,91,26.152,66.752,6.255726817,286.3567,pepper
47,27,97,26.563,51.632,6.191704014,347.4659,pepper
68,28,93,22.168,54.195,6.932323085,355.9122,pepper
50,25,126,29.09,64.985,6.824208309,315.1573,pepper
67,43,98,20.678,60.187,7,273.9897,pepper
46,42,93,24.657,62.027,6.866744372,290.0126,pepper
59,38,93,24.295,51.662,6.406198621,330.0506,pepper
79,41,116,31.509,60.704,6.340546818,365.5367,pepper
82,38,104,23.17,60.154,6.916779289,320.7756,pepper
68,23,93,28.065,55.159,6.779090476,282.1997,pepper
46,35,119,27.51,56.248,6.82738029,328.3557,pepper
82,38,120,28.784,57.017,6.514234138,275.5496,pepper
89,39,111,20.478,53.181,6.662699104,372.6526,pepper
59,37,131,28.439,62.582,6.86390397,308.9499,pepper
72,23,130,24.321,61.587,6.624690248,318.8217,pepper
69,31,93,33.536,62.526,6.591560999,385.2396,pepper
50,41,126,21.307,61.109,6.476312538,261.2897,pepper
86,28,127,30.242,54.472,6.269236258,346.0159,pepper
72,23,93,31.28,54.032,6.961934481,261.6583,pepper
77,30,95,22.622,64.148,6.690065688,260.1844,pepper
49,29,116,26.598,62.068,6.398371311,354.9982,pepper
55,29,107,24.079,59.222,6.29503163,268.1634,pepper
48,23,130,24.238,63.55,6.425904526,288.2155,pepper
62,39,107,30.957,67.387,6.119403771,275.9867,pepper
83,34,107,30.301,59.398,6.462201934,398.3215,pepper
85,34,112,21.175,60.243,6.10664753,382.9064,pepper
80,31,80,23.57,56.316,6.03160778,136.0287,greenchilli
83,41,76,24.811,55.039,5.269084669,104.8221,greenchilli
77,35,74,23.546,57.652,5.985792703,115.9645,greenchilli
73,39,66,24.626,53.613,6.09186275,122.4523,greenchilli
88,36,73,28.43,52.891,5.624731338,119.7045,greenchilli
85,30,69,27.394,50.568,6.446091759,124.3281,greenchilli
87,39,75,23.264,56.021,5.623490043,126.3757,greenchilli
75,36,82,22.824,57.007,5.864623352,147.2919,greenchilli
85,33,71,22.645,54.407,5.761702519,139.1085,greenchilli
84,43,72,26.764,51.868,4.696518678,109.7205,greenchilli
72,33,89,22.017,53.048,5.269504214,122.9047,greenchilli
87,42,88,22.928,54.565,7.445444883,115.0829,greenchilli
76,40,79,22.779,57.308,5.833031708,102.4691,greenchilli
84,28,78,27.826,50.282,7.339320929,111.7947,greenchilli
75,40,85,26.338,56.789,6.347929353,129.2364,greenchilli
74,34,87,24.788,59.005,4.697750704,133.1747,greenchilli
87,29,68,26.616,53.514,4.962661422,115.1167,greenchilli
77,34,80,26.95,50.496,4.964887857,121.6037,greenchilli
76,35,67,23.211,53.841,5.642813116,123.7582,greenchilli
73,33,78,28.293,53.854,5.6093956,146.5409,greenchilli
83,44,76,27.155,56.492,4.681576043,102.7561,greenchilli
83,43,85,27.64,50.574,5.70951224,142.0596,greenchilli
76,42,66,29.531,56.325,6.413543781,129.1764,greenchilli
76,37,86,21.319,56.178,6.007508163,136.7904,greenchilli
87,35,79,22.302,56.117,4.946369874,128.4493,greenchilli
78,44,76,21.635,52.631,5.517208078,126.2762,greenchilli
80,41,83,29.385,54.672,5.902103172,138.5585,greenchilli
89,42,68,28.986,54.291,5.719889876,111.2225,greenchilli
73,34,74,27.773,55.137,4.548202098,129.5095,greenchilli
81,33,70,28.097,53.701,6.669529416,146.4245,greenchilli
74,42,79,22.57,59.766,4.750929218,112.2345,greenchilli
78,29,84,29.26,59.147,4.946263888,137.9135,greenchilli
76,38,71,28.142,51.746,5.266227032,101.7055,greenchilli
80,34,73,26.091,54.298,7.10959773,133.1015,greenchilli
78,38,77,27.312,55.812,5.617008201,112.5436,greenchilli
88,28,70,22.366,57.936,5.632353113,106.2976,greenchilli
73,41,80,27.912,55.192,4.674941549,110.3856,greenchilli
75,38,85,27.371,51.342,7.161797643,110.2746,greenchilli
84,39,80,28.151,57.585,6.624966131,103.2136,greenchilli
87,44,72,28.638,52.707,5.004074624,142.2196,greenchilli
83,29,78,26.108,56.127,6.345806011,133.8116,greenchilli
